Nome,Criado em,Prioridade,Projeto,Related to Copy of Roadmap (Related to Copy of Épicos (Tasks) 1),Related to Todas Tasks (Sprint),Responsáveis,Status,Tasks,Timeline
Create App,"October 1, 2021 10:15 PM",🧀 Medium,Projects%208c06dfbe488d429f862029a4c12279a9/Prediction%20a7a61513b8ae44b78c6fd457310d12f9.md,,,Bruno Alves Comitre,Sprint 3,,
Assemble Database Structure,"October 1, 2021 10:15 PM",,Projects%208c06dfbe488d429f862029a4c12279a9/Mobile%20App%20434d6a775f344cb29617dd0c578cf8a6.md,,All%20Tasks%20f3761a4933934cbd8911784221f481c9/Create%20POC%20Database%20accc0b48beec4c9cbf8bdcc0b9675315.md,Bruno Alves Comitre,Sprint 1,,
