Inbox,Task,Start,Expect,Next Expiration,Project,Epic,Sprint,Kanban - State,Done,Kanban - Tag,Sub-Tasks,Task Father,Prioridade,State,Recurring Interval (Days),Tipe,Create,Criado Por,Responsável,Editado,Tasks Congelada
Yes,Create POC Database,"April 19, 2021","April 21, 2021",,Projects%208c06dfbe488d429f862029a4c12279a9/Mobile%20App%20434d6a775f344cb29617dd0c578cf8a6.md,Epics%20e502cbfb73a44660bd9a488543353176/Login%208a6cd0321d8b4ace9d567a9dd16c82ad.md,Sprints%206a056992ea474dd18dbce112588335c8/Assemble%20Database%20Structure%2081bf61abdd064c76bb9009dd77dc1b8f.md,TO DO,No,Desenvolvimento,,,,🔴,,⏳Primeira Vez,"October 1, 2021 10:15 PM",Bruno Alves Comitre,Bruno Alves Comitre,"October 2, 2021 9:54 AM",No
No,,,,,,,,,No,,,,,⚪️,,⏳Primeira Vez,"October 1, 2021 10:15 PM",Bruno Alves Comitre,,"October 1, 2021 10:15 PM",No
No,Task with Sub-Tasks,,,,,,,TO DO,No,,,,🧀 Medium,⚪️,,⏳Primeira Vez,"October 1, 2021 10:15 PM",Thomas Frank,,"October 2, 2021 10:10 AM",No
