Nome,Arquivado,Criado,Projeto Relacionado,Related to Roadmap (Epic),Responsáveis,Status,Tasks,Timeline
Internal View,No,"October 1, 2021 10:15 PM",Projects%208c06dfbe488d429f862029a4c12279a9/Prediction%20a7a61513b8ae44b78c6fd457310d12f9.md,"Roadmap%20686e3cc0d076496b833943d1d47c0dfa/Create%20Prediction%205dc6cdec5e2f4212aad06b563dd7b106.md, Roadmap%20686e3cc0d076496b833943d1d47c0dfa/Update%20environment%20to%20support%20Application%2040cc4bb2cc8a4a8abd0f21a2125860f5.md, Roadmap%20686e3cc0d076496b833943d1d47c0dfa/Upload%20new%20environment%20AppOnline%2003f971c5d56c4ae6a6f43fc0398c58de.md",Bruno Alves Comitre,AWAIT,,"May 16, 2021 → June 19, 2021"
Manager View,No,"October 1, 2021 10:15 PM",Projects%208c06dfbe488d429f862029a4c12279a9/Backend%20b41ca52a3fd04e63b18c9d549e95290f.md,"Roadmap%20686e3cc0d076496b833943d1d47c0dfa/Upload%20new%20environment%20AppOnline%2003f971c5d56c4ae6a6f43fc0398c58de.md, Roadmap%20686e3cc0d076496b833943d1d47c0dfa/Database%20Manager%20b3e061f0b6fd493d9c0a6dcdd048e89e.md",Bruno Alves Comitre,AWAIT,,"June 20, 2021 → July 17, 2021"
Login,No,"October 1, 2021 10:15 PM",Projects%208c06dfbe488d429f862029a4c12279a9/Mobile%20App%20434d6a775f344cb29617dd0c578cf8a6.md,"Roadmap%20686e3cc0d076496b833943d1d47c0dfa/Create%20Backend%20786b026e0ddf4c2f939594312ba70e1c.md, Roadmap%20686e3cc0d076496b833943d1d47c0dfa/Update%20environment%20to%20support%20Application%2040cc4bb2cc8a4a8abd0f21a2125860f5.md, Roadmap%20686e3cc0d076496b833943d1d47c0dfa/Upload%20new%20environment%20AppOnline%2003f971c5d56c4ae6a6f43fc0398c58de.md, Roadmap%20686e3cc0d076496b833943d1d47c0dfa/Create%20Login%20354757f8fc2a4bec83dde67a20460f6d.md",Bruno Alves Comitre,TO DO,All%20Tasks%20f3761a4933934cbd8911784221f481c9/Create%20POC%20Database%20accc0b48beec4c9cbf8bdcc0b9675315.md,"April 24, 2021 → May 15, 2021"
