Name,Archive,Created,Edited,Related to Copy of All Tasks (Project),Related to Copy of All Tasks (Project) 2,Related to Copy of Roadmap (Projeto Relacionado),Related to Copy of Épicos (Projeto Relacionado),Related to Roadmap (Projeto),Related to Sprints (Projeto),Related to Épicos (Projeto),Status,Tasks
Mobile App,No,"October 1, 2021 10:15 PM","October 2, 2021 9:53 AM",,,"Roadmap%20686e3cc0d076496b833943d1d47c0dfa/New%20Emojis%20Don't%20Render%2001f607708907496c9f18cea1da5e8dbb.md, Roadmap%20686e3cc0d076496b833943d1d47c0dfa/Create%20Backend%20786b026e0ddf4c2f939594312ba70e1c.md, Roadmap%20686e3cc0d076496b833943d1d47c0dfa/Update%20environment%20to%20support%20Application%2040cc4bb2cc8a4a8abd0f21a2125860f5.md, Roadmap%20686e3cc0d076496b833943d1d47c0dfa/Upload%20new%20environment%20AppOnline%2003f971c5d56c4ae6a6f43fc0398c58de.md, Roadmap%20686e3cc0d076496b833943d1d47c0dfa/Create%20Login%20354757f8fc2a4bec83dde67a20460f6d.md",,,Sprints%206a056992ea474dd18dbce112588335c8/Assemble%20Database%20Structure%2081bf61abdd064c76bb9009dd77dc1b8f.md,Epics%20e502cbfb73a44660bd9a488543353176/Login%208a6cd0321d8b4ace9d567a9dd16c82ad.md,To Do,All%20Tasks%20f3761a4933934cbd8911784221f481c9/Create%20POC%20Database%20accc0b48beec4c9cbf8bdcc0b9675315.md
Backend,No,"October 1, 2021 10:15 PM","October 2, 2021 9:53 AM",,,"Roadmap%20686e3cc0d076496b833943d1d47c0dfa/Database%20Manager%20b3e061f0b6fd493d9c0a6dcdd048e89e.md, Roadmap%20686e3cc0d076496b833943d1d47c0dfa/Upload%20new%20environment%20AppOnline%2003f971c5d56c4ae6a6f43fc0398c58de.md",,,,Epics%20e502cbfb73a44660bd9a488543353176/Manager%20View%2004053841a68b456f8d3c7d72a9319177.md,To Do,
Prediction,No,"October 1, 2021 10:15 PM","October 2, 2021 9:54 AM",,,"Roadmap%20686e3cc0d076496b833943d1d47c0dfa/Create%20Prediction%205dc6cdec5e2f4212aad06b563dd7b106.md, Roadmap%20686e3cc0d076496b833943d1d47c0dfa/Update%20environment%20to%20support%20Application%2040cc4bb2cc8a4a8abd0f21a2125860f5.md, Roadmap%20686e3cc0d076496b833943d1d47c0dfa/Upload%20new%20environment%20AppOnline%2003f971c5d56c4ae6a6f43fc0398c58de.md",,,Sprints%206a056992ea474dd18dbce112588335c8/Create%20App%202ae607fb74dd48b78414480befd040bc.md,Epics%20e502cbfb73a44660bd9a488543353176/Internal%20View%20a5560b5bcab64427bdeb2c979399142e.md,To Do,
